Participants,KinomeScan Assay,Kinative Assay,Cell Viability Assay,Apoptosis Assay,Cell Cycle State Assay,L1000 Transcriptional Response Assay
Small Molecules,2,1.740362689,1.903089987,1.77815125,1.903089987,3.643452676
Proteins,2.645422269,2.176091259,0,0,0,0
Cells,0,0.477121255,2.86332286,1.77815125,1.806179974,1.079181246
Transcribed Genes,0,0,0,0,0,3
cDNAs,0,0,0,0,0,3.550228353
shRNA,0,0,0,0,0,3.698970004
